DRI Number,Project Name,Current Status,Contains 'data center'?,Water Usage,Data Center?,Cleaned Water Usage Data
1293,MILLWOOD PLANTATION PHASE 2,Terminated,0,na,TBD,na
1292,Huff Road Assemblage,Completed,0,"464,400 gallons per day",TBD,"464,400 gallons per day"
1291,Gold Creek Golf Resort,Completed,0,.13,TBD,.13
1290,Lenox Towers,Completed,0,0.18 mgd,TBD,0.18
1289,Gold Creek Golf Club,Withdrawn,0,No water data,TBD,No water data
1288,River View,Withdrawn,0,No water data,TBD,No water data
1287,Blitchton Crossing,Completed,0,.09392,TBD,.09392
1286,Grove River Preserve,Withdrawn,0,.370,TBD,.370
1285,The Village at Lake Bowden,Withdrawn,0,No water data,TBD,No water data
1284,Majestic Realty Company,Completed,0,0.043 mgd,TBD,0.043
1283,1075 Peachtree Street,Completed,0,0.300 mgd,TBD,0.300
1282,Center Point / Trump Tower,Completed,0,.15mgd,TBD,.15mgd
1281,Riverfront Estates,Terminated,0,No water data,TBD,No water data
1280,"Residential Development, Hall Road & US Hwy 84 Bypass",Completed,0,0.074 mgd,TBD,0.074
1279,Grove Park Subdivision,Completed,0,.64 mgd,TBD,.64
1278,East Village (formally know as Champions Green),Completed,0,0.058 mgd,TBD,0.058
1277,Jonquil Village Redevelopment Plan,Completed,0,"approximately 140,000 gal/day = 0.14 mgd",TBD,"approximately 140,000 gal/day = 0.14"
1276,Satellite Business Center,Completed,0,0.293 mgd,TBD,0.293
1275,Global Station,Completed,0,0.7 mgd,TBD,0.7
1274,Interstate Centre II,Completed,0,0.1mgd,TBD,0.1mgd
1273,643 Tenth Street,Completed,0,0.07 mgd,TBD,0.07
1272,Neil Counts-Montana Development,Completed,0,042 mgd,TBD,042
1271,Breezy Hill Farm,Completed,0,.1886,TBD,.1886
1270,"Airport Disposal, Inc.",Completed,0,"10,000 mgd",TBD,"10,000"
1269,Buckhead Avenues,Completed,0,.35 mgd,TBD,.35
1268,Georgia Estate Home,Withdrawn,0,,TBD,
1267,Higgins Park Subdivision,Completed,0,0.051,TBD,0.051
1266,Liberty Gateway at Martin Plantation,Completed,0,"380,000 gpd (.38 mgd)",TBD,"380,000 gpd (.38"
1265,Newton Tract,Completed,0,0.25 mgd,TBD,0.25
1264,Maple Crest Subdivision,Withdrawn,0,No water data,TBD,No water data
1263,Lakewood Village,Completed,0,0.55 mgd,TBD,0.55
1262,Meadow Lakes,Completed,0,0.233 mgd,TBD,0.233
1261,Lake Vista,Completed,0,0.107 mgd,TBD,0.107
1260,IMPROVEMENTS AT ROOSEVELT MEMORIAL AIRPORT,Completed,0,0.0005 mgd,TBD,0.0005
1259,Sewage System Improvements - City of West Point,Completed,0,na,TBD,na
1258,Nelson Hill,Completed,0,.142,TBD,.142
1257,Estates of Dee Kennedy,Withdrawn,0,No water data,TBD,No water data
1256,The Village at Buckhorn,Withdrawn,0,No water data,TBD,No water data
1255,Wal-Mart/Sam's Club,Completed,0,"28,425 gpd",TBD,"28,425 gpd"
1254,Crystal Lake Golf and Country Club (DRI #371),Completed,0,0.01 mgd,TBD,0.01
1253,MSW Facilities Bio Conversion,Completed,0,.01 mgd,TBD,.01
1252,Ambling Mixed-Use Project in Chamblee,Completed,0,0.237,TBD,0.237
1251,Pud,Additional Form Submitted,0,,TBD,
1250,Bristol Timber Company - Wood Recycling Site,Terminated,0,No water data,TBD,No water data
1249,,Completed,0,"55,000",TBD,"55,000"
1248,Fairburn Family Travel Center Parking,Withdrawn,0,No water data,TBD,No water data
1247,Summerour/McInnis,Completed,0,"72,000",TBD,"72,000"
1246,Royal Palms,Terminated,0,No water data,TBD,No water data
1245,Woodstock West,Completed,0,.2273,TBD,.2273
1244,Creekside Country Club Estates,Completed,0,.062,TBD,.062
1243,Tract 2 Industrial Center,Completed,0,.125 mgd,TBD,.125
1242,Moores Mill Center,Completed,0,0.118 mgd,TBD,0.118
1241,Jefferson Business Center,Withdrawn,0,0.02,TBD,0.02
1240,Lafarge Aggregates/Newton County Quarry,Completed,0,"1,000 gal/day",TBD,"1,000 gal/day"
1239,Johnson Ferry Baptist Church,Completed,0,0.133 mgd,TBD,0.133
